Timestamp,Extracting Liquid,Brand Name,What kind of beans did you use?,Age of the Extract at Testing,Ratio of Beans to Booze,Was the alcohol or extract heated at all? Please specify details if so.,Were the beans split?,Did you finish the extract with Oak Blocks?,How would you rate the overall flavor of the extract?,How would you rate the booziness of the extract? (Smelling),How Vanilla-y does it smell?,Please rate the color of the finished extract,Would you use this combination again?,Other comments or notes:
3/31/2021 15:31,White/Light/Silver Rum,BACARDI,Indonesian,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,3,3,3,5,No,My preference is Vodka for making extract.
3/31/2021 15:35,Vodka,Pinnacle,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,5,5,5,5,Yes,
3/31/2021 15:36,Vodka,Kirkland ,Madagascar Mexican Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,4,4,Yes,Still young so I am sure it’ll only get better 
3/31/2021 15:41,Vodka,Kirkland French Vodka,Indonesian,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,"Yes, I used Medium Toast",4,4,4,5,Yes,
3/31/2021 15:42,"80% vodka, 20% whiskey",New Amsterdam / Oban 12yr,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Unheated,None of the beans were split,No,3,4,3,3,Yes,"The Oban adds and earthy (peat moss) character that is still evident.  Extracted from Ollivander, so it’s pretty young.  Even so, it’s workable for some recipes already.  A faint smokiness from the Oban is also evident which adds a nice complexity.

New Amsterdam was okay in selection.  Will go with something less harsh next time.  Definitely will use Oban for future extracts."
3/31/2021 15:43,Vodka,Titos,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,3,3,4,Maybe,
3/31/2021 15:44,Vodka,Nicholi,Madagascar Bourbon Cure,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),no,Part of the beans were split,No,5,5,5,4,Yes,
3/31/2021 15:46,Vodka,Kirkland,Ugandan,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No ,None of the beans were split,"Yes, I used Char",5,4,4,5,Yes,
3/31/2021 15:47,Vodka,kamchatka,Indonesian,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,No,5,3,2,3,Yes,"4 cups vodka, 5 oz of beans"
3/31/2021 15:51,Spiced Rum,Captain Morgan ,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,4,3,5,4,Yes,
3/31/2021 16:02,Vodka,Tito’s ,Madagascar Bourbon Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,3,5,4,Yes,
3/31/2021 16:03,White/Light/Silver Rum,Bacardi,Madagascar Bourbon Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,3,3,4,Yes,
3/31/2021 16:04,Gold Rum,Bacardi,Madagascar Bourbon Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,3,4,Yes,
3/31/2021 16:05,Vodka,Smirnoff,Madagascar Bourbon Cure,15-18 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,5,5,5,5,Yes,
3/31/2021 16:07,Vodka,Ciroc,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,3,,,
3/31/2021 16:08,Vodka,Ocean,Indonesian,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,3,,,
3/31/2021 16:09,Spiced Rum,Captain Morgan Spiced Rum 100 Proof,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,3,,,
3/31/2021 16:10,Bourbon,Woodford Reserve,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,3,,,
3/31/2021 16:12,Vodka,Platinum ,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,,,Maybe,
3/31/2021 16:14,White/Light/Silver Rum,Ron Diaz,,,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,4,4,Yes,
3/31/2021 16:17,Vodka,Ice Berg,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,4,3,3,4,Yes,It needs to age longer lol. This was a I got bored and had to try it test.
3/31/2021 16:21,Vodka,Pinnacle 10x ,Madagascar Bourbon Cure,18 months or older,Higher than Triple Fold (More than 3 oz beans per cup of alcohol),Nope ,Part of the beans were split,No,5,5,5,5,Yes,
3/31/2021 16:26,Gold Rum,Appleton estate ,Madagascar Mexican Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,5,4,5,5,Yes,
3/31/2021 16:28,Diluted Everclear (List the ratio and proof you used in the comments),Everclear 190,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,,,Maybe,Everclear\ distilled water 50-50
3/31/2021 16:40,Bourbon,Jim Beam,Papua New Guinea V. planifolia,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),24 hours 130 degree water bath,Part of the beans were split,"Have the oak, will do soon",4,2,3,4,Yes,"Have oak ready, still boozy"
3/31/2021 16:41,Vodka,Platinum 7X,Papua New Guinea V. planifolia,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),24 hours in 130 degree water bath,None of the beans were split,Ready for oak,3,3,3,4,Yes,
3/31/2021 16:43,White/Light/Silver Rum,Bacardi coconut,Madagascar Mexican Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,Not yet but may add after another few months,3,3,4,3,Yes,My extract is VERY young so see me again to rate when it’s aged a bit more
3/31/2021 16:44,Dark Rum,Bacardi Black,V. tahitensis Papua New Guinea,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,5,Yes,"This batch hits a year 10/2021, smells delish "
3/31/2021 16:47,White/Light/Silver Rum,Captain Morgan ,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,4,4,Yes,
3/31/2021 16:49,Gold Rum,Bacardi Gold,Indonesian,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,3,3,Yes,"Early into this one, almost 4 months. Hard to know full outcome. "
3/31/2021 16:51,Vodka,Platinum 7X,Ugandan,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,2,3,3,Maybe,Too new to make an informed decision 
3/31/2021 16:54,White/Light/Silver Rum,Bacardi Superior,Sri Lankan,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,2,2,3,2,Yes,3/24/21 start and is already smelling pretty good - a long extract ahead though
3/31/2021 16:54,Blended whiskey,Heaven Hill Kentucky blended whiskey,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,Not done yet,3,1,2,2,Yes,This is in honor of my late husband. It is the whiskey he drank. I won't get much of this vanilla because I am sharing with his family. 2 ounce gifts.
3/31/2021 16:55,White/Light/Silver Rum,,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,3,4,3,Yes,
3/31/2021 16:57,Vodka,TAAKI,Indonesian,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,Not finished yet,4,3,3,4,Yes,"This is my.mother jar. I will continue to add beans of different kinds, alcohol will stay the same. "
3/31/2021 17:02,Vodka,Smirnoff ,Madagascar Bourbon Cure,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,5,5,4,Yes,Keep it simple
3/31/2021 17:18,Vodka,Kirkland Premier,Madagascar Bourbon Cure,15-18 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),,None of the beans were split,Not done yet,,,,,,Just started extracting. Hoping for amazing results 
3/31/2021 17:22,Vodka,Pinnacle ,Ugandan,1-3 months,Higher than Triple Fold (More than 3 oz beans per cup of alcohol),No,"Yes, all the beans were split",No,5,5,5,5,Yes,I just love my new hobby
3/31/2021 17:23,Diluted Everclear (List the ratio and proof you used in the comments),Gem Clear,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,"Not yet, extracting llnger",3,3,4,4,Yes,190 proof EC for 1.5 months so far
3/31/2021 17:24,Vodka,Smirnoff,Madagascar Bourbon Cure,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,4,Yes,
3/31/2021 17:25,Vodka,,Madagascar Bourbon Cure,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,4,5,5,Yes,
3/31/2021 17:27,Vodka,Absolut,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,3,3,Yes,
3/31/2021 17:30,Vodka,Bartons Gluten free Potato Vodka,Madagascar Bourbon Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,I will,5,5,4,5,Yes,
3/31/2021 17:34,Vodka,Kirkland Signature ,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),NO ,"Yes, all the beans were split",No,5,3,5,4,Yes,
3/31/2021 17:34,Vodka,New Amsterdam ,Madagascar Bourbon Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,4,4,Yes,
3/31/2021 17:54,White/Light/Silver Rum,Bacardi ,V. tahitensis Papua New Guinea,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,4,4,4,Yes,This is a lighter flavor with lifting tones that pairs heavenly with fruit and cream cheese. I love it in strawberry jam and rhubarb crisp!
3/31/2021 17:56,Vodka,Crystal Head ,Papua New Guinea V. planifolia,18 months or older,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,5,3,5,5,Yes,
3/31/2021 17:58,Vodka,,Ugandan,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Yes. To 110,None of the beans were split,No,5,4,5,5,Yes,
3/31/2021 18:00,Vodka,Smirnoff ,Madagascar Mexican Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,4,2,4,3,Yes,
3/31/2021 18:00,Vodka,Tito’s ,All of the above ,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,5,Yes,
3/31/2021 18:14,White/Light/Silver Rum,Captain Morgan,V. tahitensis Papua New Guinea,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,"Yes, all the beans were split",No,5,3,5,4,Yes,
3/31/2021 18:15,Vodka,Rothschild,Madagascar Bourbon Cure,18 months or older,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,"Yes, all the beans were split",No,4,4,5,3,Maybe,
3/31/2021 18:18,Vodka,Kirkland and a mix if others ,Mix-mother jar,3-6 months,Higher than Triple Fold (More than 3 oz beans per cup of alcohol),No,None of the beans were split,No,5,4,5,5,Yes,Not done brewing 
3/31/2021 18:21,Diluted Everclear (List the ratio and proof you used in the comments),Pure Proof,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,2,3,3,Yes,Too soon to taste it!
3/31/2021 18:22,Vodka,Ketel One,V. tahitensis Papua New Guinea,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No.,None of the beans were split,No,4,2,4,4,Yes,
3/31/2021 18:25,Vodka,Grey Goose ,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,5,5,4,Yes,Love!
3/31/2021 18:28,Vodka,Smirnoff ,Sri Lankan,,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,,,5,Yes,I am just starting. I started in Dec. with original bottles and I did open to taste and smell. Smells good a little boosy yet 
3/31/2021 18:28,Vodka,Titos,Sri Lankan,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,5,5,4,Yes,
3/31/2021 18:28,Bourbon,Makers Mark ,Indonesian,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,Not finished yet,3,4,4,4,Yes,Think this will be awesome in 6 months or so.
3/31/2021 18:31,Vodka,Titos,Madagascar Bourbon Cure,12-15 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,4,5,5,Yes,
3/31/2021 18:33,Vodka,Tito’s,Madagascar Bourbon Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,3,4,4,Yes,
3/31/2021 18:33,Vodka,Takka,Indonesian,15-18 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Yes,Part of the beans were split,"Yes, I used Dark Toast",1,1,2,3,No,Takka was awful. I had much better results from Smirnoff. 
3/31/2021 18:39,Vodka,Sky,Madagascar Bourbon Cure,15-18 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,"Yes, I used Light Toast",5,5,5,5,Yes,Mine is in clear glass. I shake it a couple times a day at first and then every few days after that. 
3/31/2021 18:39,White/Light/Silver Rum,Captain Morgan ,Papua New Guinea V. planifolia,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Yes ,None of the beans were split,No,5,4,5,4,Yes,
3/31/2021 19:03,Spiced Rum,Captain Morgan,Madagascar Mexican Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,4,Yes,
3/31/2021 19:07,Vodka,Tito’s ,Madagascar Mexican Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,,4,4,3,Yes,
3/31/2021 19:10,Vodka,New Amsterdam,Papua New Guinea V. planifolia,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,5,4,Yes,
3/31/2021 19:20,Vodka,titos,Madagascar Bourbon Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),no,None of the beans were split,not ready to use my oak blovks yet,3,3,3,2,Yes,not finished yet 
3/31/2021 19:40,Vodka,Costco American Distilled,Papua New Guinea V. planifolia,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,4,2,4,2,Yes,
3/31/2021 19:43,Bourbon,Evan Williams,Indonesian,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,2,2,2,3,No,
3/31/2021 19:44,Vodka,"Indian Grass Vodka  (Tulsa, OK, Distillery)",All of them  except Mexican,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),"2-3 in the beginning. Now no, for last dozen plus.  ",None of the beans were split,No,5,5,5,5,Yes,"My single folds are usually over (4 vs 3 oz), and I have some double. My mother is prob double and a half. Did cut some beans in half on the first 1-4 jars to speed them up, but didn’t split. And they do smell like alcohol first 3-12 weeks. Except those Uganda bits and splits that still smell like dirt. Giving them one year and one bake try, then maybe tossing. Lol! And was the “taste” question in something cooked, or straight from the bottle, because I am NOT a vodka fan, so it’s oily YUK tasting to me there. "
3/31/2021 19:45,Vodka,Svedka ,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,3,3,Maybe,
3/31/2021 19:46,Bourbon,Evan Williams,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,2,2,2,3,No,
3/31/2021 19:49,Diluted Everclear (List the ratio and proof you used in the comments),Everclear,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,,,5,5,,Yes,Mine hasn’t finished yet so I couldn’t answer all the questions 
3/31/2021 19:50,Vodka,,Madagascar Bourbon Cure,9-12 months,Higher than Triple Fold (More than 3 oz beans per cup of alcohol),No,Part of the beans were split,No,3,4,5,4,Maybe,
3/31/2021 19:51,Vodka,Smirnoff ,Madagascar Bourbon Cure,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,4,4,,
3/31/2021 20:00,Vodka,Grey Goose,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,4,5,5,Yes,This was always my go-to way to make vanilla extract that I use for all baking. I will always have a bottle like this ready to go. 
3/31/2021 20:11,Vodka,New Amsterdam ,Madagascar Bourbon Cure,3-6 months,Triple Fold (About 3 oz beans to about 1 cup of alcohol),No,None of the beans were split,Not yet,5,5,5,5,Yes,
3/31/2021 20:23,Vodka,Absolut,Madagascar Bourbon Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,,4,4,3,2,Maybe,
3/31/2021 20:37,White/Light/Silver Rum,Captain Morgan,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,3,4,Yes,
3/31/2021 20:38,Diluted Everclear (List the ratio and proof you used in the comments),EC,Madagascar Bourbon Cure,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,5,Yes,
3/31/2021 20:40,Vodka,Pau Maui,Madagascar Bourbon Cure,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,"Yes, I used Medium Toast",5,4,5,5,Yes,
3/31/2021 20:42,Toasted Coconut Rum,Kula,Madagascar Bourbon Cure,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,3,4,5,Yes,This has caramel and coconut notes similar to a Girl Scout cookie. Love this in oatmeal and oatmeal cookies. 
3/31/2021 20:44,Bourbon,Angel’s Envy,Madagascar Bourbon Cure,18 months or older,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,"Yes, I used Medium Toast",5,3,5,4,Yes,
3/31/2021 20:45,Gold Rum,,Madagascar Mexican Cure,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),,None of the beans were split,No,4,3,3,3,Yes,
3/31/2021 20:59,Vodka,Tito’s ,Sri Lankan,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,4,5,5,5,Yes,
3/31/2021 21:07,Vodka,Sky,Sri Lankan,15-18 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,3,3,4,4,Yes,I'm adding more beans
3/31/2021 21:33,Vodka,Kirkland Vodka,Madagascar Bourbon Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,4,5,3,Yes,At 2 months my double fold smelled Devine. This is my first ever extract!
3/31/2021 21:47,Vodka,Smirnoff,Madagascar Bourbon Cure,18 months or older,Single Fold (About 1 oz beans to about 1 cup of alcohol),,"Yes, all the beans were split",No,5,5,5,5,Maybe,
3/31/2021 21:51,White/Light/Silver Rum,Captain Morgan,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,"Yes, I used Medium Toast",5,2,4,5,Yes,
3/31/2021 21:56,Bourbon,Larceny,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,4,3,5,4,Yes,
3/31/2021 22:04,Vodka,Titos,Indonesian,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,Not yet,3,3,3,3,Maybe,Mine isn’t ready yet
3/31/2021 22:40,Vodka,,Madagascar Bourbon Cure,12-15 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,5,5,5,Yes,
3/31/2021 22:46,Vodka,Smirnoff extra smooth,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,2,4,3,3,Yes,
3/31/2021 22:47,White/Light/Silver Rum,Captain Morgan,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,3,3,Yes,
3/31/2021 22:49,Brandy,Christian Brothers ,Mixed,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,,2,1,1,Maybe,
3/31/2021 23:02,Vodka,Tahoe ,Madagascar Bourbon Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),,Part of the beans were split,No,4,3,4,3,Yes,
4/1/2021 0:29,Vodka,Smirnoff,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Not heated,None of the beans were split,No,5,5,5,5,Yes,
4/1/2021 0:31,Vodka,Kirkland,Ugandan,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Not heated,Part of the beans were split,No,5,5,5,5,Yes,Smelled wonderfully at 3 months. 
4/1/2021 0:34,Vodka,Kirkland ,Madagascar Bourbon Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,5,4,Yes,
4/1/2021 0:36,Vodka,Kirkland,Madagascar Mexican Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,3,4,4,Yes,
4/1/2021 0:42,Vodka,Smirnoff,V. tahitensis Papua New Guinea,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,4,Yes,
4/1/2021 0:46,Vodka,Smirnoff,Madagascar Mexican Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,5,4,Yes,
4/1/2021 3:17,Diluted Everclear (List the ratio and proof you used in the comments),,Madagascar Bourbon Cure,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,5,5,4,Yes,1:1 ratio everclear:distilled water
4/1/2021 3:39,Vodka,Tito’s ,Madagascar Mexican Cure,3-6 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,4,4,Yes,
4/1/2021 4:34,Vodka,Amsterdam 100 proof,Madagascar Bourbon Cure,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,4,3,4,4,Yes,
4/1/2021 5:27,Bourbon fortified with EC to reach 35% abv,Evan Williams,Madagascar Bourbon Cure,18 months or older,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,4,Yes,Future batches were bumped to 2x
4/1/2021 5:28, Bourbon fortified with 190proof EC to 35% abv,Evan Williams,Madagascar Bourbon Cure,18 months or older,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,5,Yes,
4/1/2021 5:30,Vodka,Smirnoff No 21,Madagascar Bourbon Cure,12-15 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,5,5,5,5,Yes,
4/1/2021 5:31,White/Light/Silver Rum,Captain Morgan,V. tahitensis Papua New Guinea,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,5,5,5,Yes,
4/1/2021 5:47,Vodka,Rain,Ugandan,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,,,3,2,Maybe,
4/1/2021 5:47,Vodka,Grey Goose,Madagascar Bourbon Cure,18 months or older,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,5,5,5,5,Yes,
4/1/2021 5:48,Bourbon,Jim Beam,Madagascar Mexican Cure,18 months or older,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,5,5,5,Yes,
4/1/2021 5:48,Diluted Everclear (List the ratio and proof you used in the comments),Ever clear ,Madagascar Bourbon Cure,1-3 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,,4,3,4,Yes,
